ID [id]
Title [title]
Description [description]
Link [link]
Image link [image_link]
Availability [availability]
Price [price]
Sale price [sale_price]
Google product category [google_product_category]
Product type [product_type]
Brand [brand]
GTIN [gtin]
Color [color]
Gender [gender]
Material [material]
Pattern [pattern]
Size [size]
